                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.3261,                 0.8296,                 1.1499,                0.69461,                0.64319,                0.65246,                0.41091,                 1.3231,                0.84606,                 1.1246,              0.0095397,              0.0095397,              0.0095397
                     95,                 1.3039,                0.82065,                 1.1435,                0.70921,                0.63314,                0.65142,                0.40685,                 1.3231,                 0.8464,                 1.1244,              0.0095347,              0.0095347,              0.0095347
                     96,                  1.312,                0.81881,                 1.1438,                0.68409,                0.64101,                  0.653,                0.40801,                 1.3216,                0.84349,                 1.1229,              0.0095298,              0.0095298,              0.0095298
                     97,                 1.3138,                 0.8153,                  1.139,                0.69026,                 0.6337,                0.65168,                0.40693,                 1.3194,                0.84058,                 1.1232,              0.0095248,              0.0095248,              0.0095248
                     98,                 1.3113,                 0.8186,                  1.144,                0.67979,                 0.6402,                0.65448,                0.40812,                 1.3165,                0.83748,                 1.1212,              0.0095198,              0.0095198,              0.0095198
                     99,                 1.2926,                0.80933,                  1.145,                0.67734,                0.65117,                0.65368,                0.40761,                 1.3158,                0.83557,                  1.122,              0.0095149,              0.0095149,              0.0095149
                    100,                 1.3117,                0.81277,                 1.1357,                0.68637,                0.64568,                0.65532,                0.40746,                 1.3133,                0.83459,                 1.1211,                0.00951,                0.00951,                0.00951
                    101,                 1.2887,                0.80367,                 1.1365,                0.67998,                0.63747,                0.64494,                0.40687,                 1.3116,                0.83563,                  1.119,               0.009505,               0.009505,               0.009505
                    102,                 1.2998,                0.81069,                 1.1394,                0.67431,                0.65325,                0.65695,                0.40819,                 1.3112,                0.83429,                 1.1192,                 0.0095,                 0.0095,                 0.0095
                    103,                  1.286,                0.79408,                 1.1401,                0.68806,                0.64062,                0.65718,                0.40719,                 1.3102,                0.83233,                   1.12,              0.0094951,              0.0094951,              0.0094951
                    104,                  1.292,                0.80369,                 1.1363,                0.67326,                 0.6373,                0.64651,                0.40785,                 1.3101,                0.83244,                 1.1204,              0.0094902,              0.0094902,              0.0094902
                    105,                 1.3027,                0.80714,                 1.1371,                0.67806,                0.65149,                0.64801,                0.40924,                 1.3083,                0.83068,                 1.1203,              0.0094852,              0.0094852,              0.0094852
                    106,                 1.2764,                0.78651,                  1.134,                0.69158,                0.64722,                0.64809,                0.41223,                 1.3062,                0.82794,                 1.1192,              0.0094803,              0.0094803,              0.0094803
                    107,                 1.2687,                0.78177,                 1.1327,                0.69618,                0.64721,                0.64903,                0.41146,                 1.3047,                0.82719,                 1.1186,              0.0094753,              0.0094753,              0.0094753
                    108,                 1.2846,                0.79102,                 1.1318,                0.69585,                 0.6387,                0.64881,                0.41075,                 1.3036,                0.82426,                 1.1191,              0.0094704,              0.0094704,              0.0094704
                    109,                 1.2792,                0.79429,                 1.1345,                0.69335,                0.63837,                0.64847,                0.41165,                 1.3031,                0.82342,                 1.1197,              0.0094654,              0.0094654,              0.0094654
                    110,                 1.2773,                0.78802,                 1.1265,                0.70003,                0.63701,                0.64763,                0.41233,                  1.303,                0.82288,                 1.1196,              0.0094605,              0.0094605,              0.0094605
                    111,                 1.2847,                0.79064,                 1.1269,                0.69148,                0.63267,                0.64907,                0.41328,                 1.3022,                0.82212,                 1.1192,              0.0094555,              0.0094555,              0.0094555
                    112,                  1.272,                0.78082,                 1.1269,                0.69585,                0.63228,                0.64994,                0.41429,                 1.3009,                0.82281,                 1.1179,              0.0094506,              0.0094506,              0.0094506
                    113,                 1.2658,                0.78019,                 1.1247,                0.68137,                 0.6265,                0.63857,                0.41237,                    1.3,                0.82305,                 1.1178,              0.0094456,              0.0094456,              0.0094456
                    114,                 1.2717,                0.78837,                  1.123,                0.68497,                0.63407,                0.65008,                0.41529,                 1.3005,                0.82352,                 1.1181,              0.0094407,              0.0094407,              0.0094407
